date,confirmed,deaths
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,3,0
2020-03-07,6,0
2020-03-08,3,0
2020-03-09,0,0
2020-03-10,3,0
2020-03-11,11,0
2020-03-12,15,0
2020-03-14,18,0
2020-03-16,83,0
2020-03-17,11,1
2020-03-18,58,2
2020-03-19,45,2
2020-03-20,47,4
2020-03-25,416,35
2020-03-26,177,9
2020-03-27,145,9
2020-03-30,189,41
2020-03-31,652,18
2020-04-01,533,23
2020-04-02,397,20
2020-04-03,387,22
2020-04-04,294,26
2020-04-05,116,8
2020-04-06,142,24
2020-04-07,504,52
2020-04-08,689,43
2020-04-09,530,45
2020-04-10,505,25
2020-04-11,149,13
2020-04-12,221,23
2020-04-13,66,11
2020-04-14,287,56
2020-04-15,1059,46
2020-04-16,144,45
2020-04-17,836,40
2020-04-18,684,43
2020-04-19,240,14
2020-04-20,147,15
2020-04-21,527,38
2020-04-22,349,25
2020-04-23,534,134
2020-04-24,575,98
2020-04-25,1298,89
2020-04-26,415,15
2020-04-27,476,58
2020-04-28,1408,149
2020-04-29,1241,118
2020-04-30,1511,83
2020-05-01,938,85
2020-05-02,407,54
2020-05-03,328,12
2020-05-04,251,10
2020-05-05,1067,118
2020-05-06,2047,109
2020-05-07,1086,76
2020-05-08,1094,124
2020-05-09,1420,113
2020-05-10,520,43
2020-05-11,464,15
2020-05-12,911,124
2020-05-13,1720,89
2020-05-14,1471,102
2020-05-15,2119,78
2020-05-16,1437,118
2020-05-17,502,43
2020-05-18,257,21
2020-05-19,1452,173
2020-05-20,1826,106
2020-05-21,1985,103
2020-05-22,1522,114
2020-05-23,1914,139
2020-05-24,640,43
2020-05-25,677,21
2020-05-26,1350,136
2020-05-27,1710,135
2020-05-28,3455,132
2020-05-29,3022,158
2020-05-30,2878,123
2020-05-31,1512,41
2020-06-01,995,24
2020-06-02,3317,139
2020-06-03,2334,121
2020-06-04,2570,111
2020-06-05,2106,130
2020-06-06,2408,96
2020-06-07,935,19
2020-06-08,903,17
2020-06-09,2327,136
2020-06-10,2431,159
2020-06-11,2619,125
2020-06-12,2546,123
2020-06-13,2403,119
2020-06-14,3173,24
2020-06-15,2250,29
2020-06-16,4228,167
2020-06-17,456,140
2020-06-18,398,138
2020-06-19,6877,158
2020-06-20,184,116
2020-06-21,949,16
2020-06-22,1191,17
2020-06-23,2483,179
2020-06-24,3047,92
2020-06-25,4050,119
2020-06-26,3852,86
2020-06-27,1596,102
2020-06-28,1346,21
2020-06-29,907,23
2020-06-30,2107,136
2020-07-01,2209,96
2020-07-02,5656,112
2020-07-03,2090,109
2020-07-04,688,118
2020-07-05,2109,24
2020-07-06,360,13
2020-07-07,2271,109
2020-07-08,2071,121
2020-07-09,2166,100
2020-07-10,2692,125
2020-07-11,1934,87
